Ada Lovelace
Alan Turing
Claude Shannon
Grace Hopper
Steve Jobs
Tim Berners-Lee
Linus Torvalds
Barbara Liskov
Donald Knuth
Radia Perlman
Fei-Fei Li
Anne Wojcicki
Ben Silbermann
Kara Swisher
Michael Krigsman
Hamilton Mann
Sam Altman
Ilya Sutskever
Geoffrey Hinton
Yoshua Bengio
Marissa Mayer
Mitchell Baker
Kent Beck
Martin Fowler
James Gosling
Guido van Rossum
Brendan Eich
Bjarne Stroustrup
Yukihiro Matsumoto
Anders Hejlsberg
Jeff Dean
Ian Goodfellow
Jeremy Howard
Chris Lattner
John Carmack
Sal Khan
Susan Wojcicki
Melanie Mitchell
Lex Fridman
Sebastian Thrun
Bill Gates
Jeff Bezos
Mark Zuckerberg
Jack Dorsey
Antonio Neri
Neil Gunther
Meredith Whittaker
Sundar Pichai
Brian Chesky
Drew Houston
Daniel Ek
Whitney Wolfe Herd
Reshma Saujani
Melinda French Gates
Reed Hastings
Marc Andreessen
Ben Horowitz
Naval Ravikant
Patrick Collison
John Collison
Diane Greene
Safra Catz
Ginni Rometty
Meg Whitman
Padmasree Warrior
Tristan Harris
Gina Bianchini
Jony Ive
Don Norman
Mary Jo Foley
Marty Cagan
Martin Casado
Shantanu Narayen
Julie Zhuo
Laszlo Bock
Patty McCord
Josh Bersin
Hubert Joly
Simon Sinek
Seth Godin
Ann Handley
Rand Fishkin
April Dunford
Brian Halligan
Dharmesh Shah
Mary Barra
Satya Nadella
Indra Nooyi
Tony Robbins
Marc Benioff
Melanie Perkins
Tobi Lütke
Stewart Butterfield
Claire Hughes Johnson
Henry Gantt
Peter Drucker
Rita Mulcahy
Tom Peters
Margaret Hamilton
W. Edwards Deming
Frederick Winslow Taylor
Steve Browne
Felicia Fields
Hollie Delaney
Ann Mei Chang
John Kotter
Amy Edmondson
Linda Hill
Rosabeth Moss Kanter
Michael Porter
Clayton Christensen
Theresa M. Payton
Nicole Forsgren
Kim Scott
Ram Charan
Liz Wiseman
Frances Frei
Tasha Eurich
Herminia Ibarra
Whitney Johnson
Claude Silver
Dave Ulrich
Brene Brown
Marshall Goldsmith
Daniel Goleman
Adam Grant
Angela Duckworth
Jeffrey Pfeffer
Gary Hamel
Ranjay Gulati
Mary Parker Follett
Lyndall Urwick
Henri Fayol
Peter Senge
Chris Argyris
Warren Bennis
Jay Galbraith
Mintzberg
Joan Woodward
Frederick Herzberg
David Ulrich
Susan Heathfield
Jac Fitz-enz
John P. Kotter
Joseph Juran
Taiichi Ohno
Frank Gilbreth
Lillian Gilbreth
Shigeo Shingo
Michael Hammer
Jim Collins
Eliyahu Goldratt
Philip Crosby
John Doerr
Andy Grove
Jeff Sutherland
Ken Schwaber
Mike Cohn
Alistair Cockburn
Frederick Taylor
Rensis Likert
Barbara Kellerman
Frances Hesselbein
Richard Hackman
Stephen Covey
Donella Meadows
Russell Ackoff
Geary Rummler
Tom DeMarco
Barry Boehm
Gerald Weinberg
Grady Booch
Ikujiro Nonaka
Hirotaka Takeuchi
Edgar Schein
Karl Weick
Robert Sutton
Richard Branson
Tony Hsieh
John Boyd
Gifford Pinchot III
Clay Shirky
Yves Morieux
Nilofer Merchant
Ron Westrum
Gene Kim
Jez Humble
Kelsey Hightower
Camille Fournier
Reid Hoffman
Jason Fried
David Heinemeier Hansson
Jim Rohn
Zeynep Ton
Anil Dash
Margaret Heffernan
Rita McGrath
Liz Fosslien
Molly Graham
Anne Morriss
Kim Malone Scott
Heidi Grant Halvorson
Susan David
Roger Martin
Michael Bungay Stanier
Keith Ferrazzi
Dan Pink
Cal Newport
David Allen
Tiago Forte
Laura Vanderkam
Oliver Burkeman
Greg McKeown
Jake Knapp
John Maeda
Erika Hall
Leah Buley
Kate Rutter
Jennifer Dulski
Brian Robertson
Frederic Laloux
Navi Radjou
Linda Gratton
Rob Cross
Teresa Amabile
Scott Eblin
Jennifer Garvey Berger
Carol Dweck
Ed Batista
Michael Lopp
Camille Ricketts
Tomas Chamorro-Premuzic
Annie Duke
Julia Galef
Barbara Minto
Nancy Duarte
Dan Roam
Patti Sanchez
Stephen Bungay
David Marquet
Stanley McChrystal
Chris Fussell
Amy C. Edmondson
David Rock
Lisa Feldman Barrett
Roy Baumeister
Daniel Kahneman
